feature,f_score,p_value,importance_mean,importance_std
concave points_worst,964.385393451702,1.9690997072170274e-124,0.0010544815465729275,0.0008609805774281758
perimeter_worst,897.9442188597823,5.771397139667544e-119,0.0,0.0
concave points_mean,861.6760200073066,7.101150161059154e-116,0.0,0.0
radius_worst,860.7817069850548,8.48229192168596e-116,0.0,0.0
perimeter_mean,697.2352724765242,8.436251036176348e-101,0.0,0.0
area_worst,661.6002055336265,2.8288477042872213e-97,0.0,0.0
radius_mean,646.981020978646,8.465940572261895e-96,0.0,0.0
area_mean,573.0607465682338,4.7345643103086664e-88,0.0,0.0
concavity_mean,533.7931262035477,9.966555755074888e-84,0.0,0.0
concavity_worst,436.6919394030521,2.464663956782974e-72,0.0,0.0
compactness_mean,313.2330785676427,3.9382631058865496e-56,0.0,0.0
compactness_worst,304.3410629037623,7.069816352538099e-55,0.0,0.0
radius_se,268.84032696734374,9.738948656462521e-50,0.0,0.0
perimeter_se,253.89739178268084,1.651905175849958e-47,0.0,0.0
area_se,243.65158577774136,5.895521392606211e-46,0.0007029876977152849,0.0008609805774281759
texture_worst,149.5969046860518,1.0780574879493716e-30,0.0022847100175746758,0.000805373584350757
smoothness_worst,122.47288045844445,6.575143633985019e-26,0.0,0.0
symmetry_worst,118.86023213619762,2.9511205771542106e-25,0.0,0.0
texture_mean,118.0960593449797,4.058636047898441e-25,0.0,0.0
concave points_se,113.2627599449242,3.072308768818344e-24,0.0,0.0
smoothness_mean,83.65112340842512,1.051850359203376e-18,0.0,0.0
symmetry_mean,69.52744350046244,5.73338402846732e-16,0.0,0.0
fractal_dimension_worst,66.4439606496003,2.31643244998312e-15,0.0,0.0
compactness_se,53.24733912812037,9.975994654075776e-13,0.0,0.0
concavity_se,39.014481556847464,8.260176167970819e-10,0.0,0.0
fractal_dimension_se,3.46827475704247,0.06307355082240175,0.0,0.0
smoothness_se,2.5579678031857878,0.11029660865790443,0.0017574692442882123,0.0
fractal_dimension_mean,0.09345929487492248,0.7599368037255626,0.0,0.0
texture_se,0.039094702312853835,0.8433320287670788,0.0,0.0
symmetry_se,0.024117406686684856,0.8766418183857136,0.0,0.0
